,Unnamed: 0,"Para começar, confirme sua autorização selecionando uma das opções abaixo:","Em relação a temas como Usabilidade, Experiência do Usuário (UX), Interação Humano-Computador, Design Centrado no Usuário e outros, você se considera",A UX é muito dinâmica - muda constantemente enquanto há interação com um produto. [Marque uma opção. ],A expectativa de uso de um produto pode resultar em experiências reais.  [Marque uma opção. ],"Aspectos efêmeros e estáveis do estado interno de uma pessoa (por exemplo: necessidades,  motivações)  afetam a experiência da pessoa com algo. [Marque uma opção. ]",A UX é melhor compreendida se analisada dentro da área de marketing. [Marque uma opção. ],UX ocorre e depende do contexto em que o artefato é experimentado.  [Marque uma opção. ],"UX não é sobre o desempenho do usuário (habilidade para entender e utilizar) em relação a um artefato, mas sobre a percepção pessoal dele sobre esse desempenho. [Marque uma opção. ]",Definitivamente existe a necessidade de uma definição padronizada para o termo UX. [Marque uma opção. ],A exposição prévia a um artefato molda uma posterior experiência do usuário  [Marque uma opção. ],As pessoas nunca terão uma experiência (UX) comparável - toda e qualquer interação com um produto resulta em uma experiência única. [Marque uma opção. ],A UX deveria ser avaliada após a interação com o artefato. [Marque uma opção. ],"A UX está baseada em como uma pessoa percebe as características de um artefato, mas não nas características em si. [Marque uma opção. ]",Usabilidade é uma pré-condição necessária para a UX.  [Marque uma opção. ],"Nós não podemos projetar a UX, mas podemos projetar para a UX.  [Marque uma opção. ]","Medir a UX implica em determinar as vantagens, valores e significância de um artefato com relação às necessidades e objetivos de uma pessoa. [Marque uma opção. ]","A UX se refere a estados afetivos, isto é, qualquer combinação de valências emocionais (bom-ruim, prazeroso-desagradável) e estímulos psicológicos (calmo-agitado) [Marque uma opção. ]","A UX pode ser quantificada e, portanto, comparada entre artefatos similares (ou competitivos) [Marque uma opção. ]",A UX deveria ser medida enquanto se interage com um artefato. [Marque uma opção. ],Ao se projetar (para a) UX deve-se ter como alicerce o Design Centrado no Usuário  [Marque uma opção. ],"Apenas um indivíduo pode ter uma experiência. Uma experiência é algo pessoal. Algo que ocorre ""dentro"" da pessoa. [Marque uma opção. ]",UX é igual a apego emocional.  [Marque uma opção. ],UX não é algo novo. Já é contemplada por abordagens existentes (ex.: engenharia de usabilidade). [Marque uma opção. ],A UX deve ser abordada qualitativamente.  [Marque uma opção. ],A UX pode mudar mesmo depois que uma pessoa já parou de interagir com o produto. [Marque uma opção. ],"Dentre essas definições, qual você escolheria",Justificativa,"Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? ","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .1","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .2","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .3","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .4",Qual seu gênero? ,Qual é a sua faixa etária?,Em qual cidade você vive? ,Região ,Você é ,Role,Domain ,Sua formação principal foi na área de ,Educação ,Você já atuou ou atua profissionalmente com UX? ,"Complete a frase: ""Eu estou interessado(a) em entender o conceito de UX...""","Atualmente, quão importante é a UX para a sua vida profissional/acadêmica?"
0,0,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Não entendi a frase.,Não entendi a frase.,Concordo totalmente,Concordo parcialmente,Não entendi a frase.,"D5: Experiência do Usuário é a qualidade da experiência que uma pessoa tem quando interage com um design específico. Isso pode mudar de um artefato específico como um copo de brinquedo ou um website até experiências integradas maiores, como um museu ou um aeroporto. [UXNet.org]","Acredito que qualquer tipo de interação do usuário com um produto, serviço, objeto etc revela experiências de uso.",,,,,,Feminino,Entre 32 e 39 anos.,São Paulo,Sudeste,Analista,Profissional,Mercado ,Comunicação,Outros ,"Sim, como contratado.","""... para deixar os usuários satisfeitos""",7.0
1,1,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Não entendi a frase.,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,"D4: Experiência do Usuário é o valor derivado da interação (ou da expectativa da interação) com um produto ou serviço e os aspectos envolvidos no contexto de uso (por exemplo: tempo, local e disposição do usuário). [Sward D. & G., 2007]","Todas as definições trazem aspectos importantes. O que pesou na minha escolha foi a objetidade da definição e o uso da expressão contexto de uso, que engloba os usuários, tarefas, ambiente e equipamentos.",,,,,,Masculino,Entre 32 e 39 anos.,João Pessoa,Nordeste,Analista de UX,Profissional,Mercado ,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, na empresa na qual trabalho","""... para criar produtos melhores""",7.0
2,2,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Indiferente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",(Vide resposta aberta na seção anterior),,,,,,Masculino,Entre 25 e 31 anos,Fortaleza,Nordeste,Desenvolvedor,Profissional,Mercado ,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, como contratado.","""... para criar produtos melhores"", ""... para aumentar a venda de produtos"", ""... para deixar os usuários satisfeitos""",7.0
3,3,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,"D3: Experiência do usuário diz respeito a todo o conjunto de afetos que é evocado pela interação entre o usuário e o produto, incluindo o grau em que todos os nossos sentidos são gratificados (experiência estética), os significados que atribuímos ao produto (experiência de significação) e os sentimentos e emoções que são evocados (experiência emocional). [Desmet & Hekkert, 2007]","Acredito que essa seja a mais generalista e abrangente de todas, contempla tres grandes campos dentro da Experiencia e não se propoe a limitar ou medir e sim a signficar o termo.",,,,,"O termo qualidade por si só é muito difícil e subjetivo de medir. Tem um autor que fala muito sobre o que é qualidade e como avaliar / atribuir qualidade a algo (nao lembro o nome mas li sobre no prefacio da nova ediçao do livro chamado OMecotipo do Leonardo Buggy, vale a pena dar uma olhada por curiosidade). Isso por si só já é uma discussao enorme e que merece atençao na hora usar o termo. Por isso acho que incluir o termo qualidade dentro da definicão só confunde e complica ainda mais algo que já é muito subjetivo!",Masculino,Entre 25 e 31 anos,São Carlos,Sudeste,Designer,Profissional,Mercado ,Design,Design,"Sim, como contratado.",Para ser mais assertivono uso e rotina da profissao e nivelar as discussoes.,7.0
4,4,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",Menciona os aspectos que julgo necessários para descrever uma experiência.,Nem sempre a experiência deve gerar alegria (Ex: Museu do Holocausto).,Menciona os aspectos que julgo necessários para descrever uma experiência.,"Como afeto vem de afeição e certas experiências não evocarão afetos.
Nielsen Norman: ",Faltam aspectos emocionais na utilização.,Essa visão trata de um design específico apenas. O exemplo de cup ficaria melhor se traduzido como xícara.,Feminino,40 anos ou mais.,Brasília,Centro-oeste,Designer,Profissional,Mercado ,Design,Design,"Sim, como contratado., Sim, como freelancer ou voluntário.","""... para criar produtos melhores""",7.0
5,5,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Não entendi a frase.,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","UX é um processo mutável sobre as interações de um artefato e os dados que ele lhe retorna sobre os valores que ele possui para o indivíduo. Usabilidade e experiência devem sempre andar juntas, UX não é algo abstrato, as relações emocionais ou comportamentais devem ser analisadas para alcançar um nível de precisão sobre o artefato mesmo que o observador como humano esteja aberto para interpretações internas do artefato dentro das condições projetadas como: humor, ambiente e outras particularidades do indivíduo.",,,,,,Masculino,Entre 25 e 31 anos,Fortaleza,Nordeste,Designer UI/UX,Profissional,Mercado ,Comunicação,Outros ,"Sim, como contratado.","""... para criar produtos melhores""",7.0
6,6,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","Acredito que está definição está mais completa, pois é a unica entre as acimas que leva em consideração os aspectos do usuário, das características do sistema e o contexto de uso. Levando em consideração todos os pontos relevantes destes como as expectativas e predisposições do usuário e o proposito do sistema.",,,,,,Masculino,Entre 18 e 24 anos,Fortaleza,Nordeste,Designer/Desenvolvedor,Profissional,Mercado ,Sistemas e Mídias Digitais,Tecnologia / Computação / IHC,"Sim, em um projeto acadêmico (por exemplo: iniciação científica, monitoria de graduação), Tento inserir passos ou documentações relacionadas a UX em meus projetos quando possível","""... para criar produtos melhores"", ""... para deixar os usuários satisfeitos""",6.0
7,7,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Não entendi a frase.,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo totalmente,Não entendi a frase.,Concordo parcialmente,Não entendi a frase.,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",Acho que ela define melhor pois engloba com termos fáceis todas as variáveis que influenciam a percepção do usuário.,"Ela começa falando de empresa, talvez o termo correto seja organização. E é muito atrelado aos níveis de interação que Norman trata em seu seu livro, visceral, comportamental e reflexivo",,Significo a palavra afeto como algo positivo. A interação com um produto ou serviço nem sempre evoca sentimentos positivos.,Trata pouco da condição individual de cada individuo.,"Acho melhor utilizar percepção de qualidade de cada um, pois cada indivíduo ou público tem diferentes métricas de qualidade.",Masculino,Entre 25 e 31 anos,Fortaleza,Nordeste,Empregado do setor privado,Profissional,Mercado ,Administração,Marketing e/ou negócios,Sou analista de pesquisa de mercado e estudo sobre UX na ESPM,"""... para criar produtos melhores"", ""... para aumentar a venda de produtos"", ""... para deixar os usuários satisfeitos""",5.0
8,8,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Não entendi a frase.,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Indiferente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Indiferente,Indiferente,Indiferente,Indiferente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Indiferente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",Todas são válidas. ,,,,,,Masculino,40 anos ou mais.,Cingapura ,Fora do Brasil ,Empresário,Profissional,Mercado ,Marketing e/ou negócios,Marketing e/ou negócios,"Sim, como contratado.","""... para deixar os usuários satisfeitos""",7.0
9,9,"Confirmo que li, concordo com os termos e aceito participar.",Regularmente interessado em pelo menos um dos temas,Concordo parcialmente,Não entendi a frase.,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Indiferente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]","A primeira afirmação é mais ampla pois considera todas as interações em relação à uma marca: não é restrita à interação imediata com um produto da marca. Escolho esta primeira pois as outras interações são complementares e somam-se no conjunto afetivo da experiência, formando uma pré-disposição. Ela tem maior relação com o design do serviço do que a usabilidade do produto em si.","A tradução poderia ser melhor. Sobre a definição, respondi no campo anterior.",Orientada à experiência imediata durante o uso.,,,,Masculino,40 anos ou mais.,Curitiba,Sul,Empresário,Profissional,Mercado ,Design,Design,"Sim, como contratado., Sim, como freelancer ou voluntário., Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)","""... para criar produtos melhores"", ""... para deixar os usuários satisfeitos""",7.0
